date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:54	91/91	---M--	200	added ('OK')	text/html	etag:%22640f2fff-5b%22	https://crsorgi-goovin.github.io/iin/	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/index.html	(from )
20:17:54	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-239b%22	https://crsorgi-goovin.github.io/robots.txt		(from )
20:17:55	413/413	---M-Z	200	added ('OK')	text/html	etag:W/%22640f2fff-19d%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/index.html	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/index.html	(from https://crsorgi-goovin.github.io/iin/)
20:17:55	75700/75700	---M-Z	200	added ('OK')	text/html	etag:W/%22640f2fff-127b4%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==.html	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/index.html)
20:17:55	7942/7942	---M-Z	200	added ('OK')	text/css	etag:W/%22640f2fff-1f06%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/style.css	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/style.css	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html)
20:17:56	1090/1090	---M-Z	200	added ('OK')	text/css	etag:W/%22640f2fff-442%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/default.css	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/default.css	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html)
20:17:56	4068/4068	---M-Z	200	added ('OK')	text/css	etag:W/%22640f2fff-fe4%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/main.css	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/main.css	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html)
20:17:56	59/59	---M--	200	added ('OK')	text/css	etag:%22640f2fff-3b%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html)
20:17:56	14845/14845	---M-Z	200	added ('OK')	text/css	etag:W/%22640f2fff-39fd%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html)
20:17:57	24752/24752	---M-Z	200	added ('OK')	application/javascript	etag:W/%22640f2fff-60b0%22	https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/js/mm_menu.js	C:/My%20Web%20Sites/nnb/crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/js/mm_menu.js	(from https://crsorgi-goovin.github.io/iin/crsorgi-gov1.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09%3d%3d.html)
